観光地名,短文説明,タグ,住所,緯度経度,画像,電話番号,ホームページ,Twitter,Instagram,Youtube,GoogleMapリンク,インフォ,詳細説明,追加画像1,追加画像2,追加画像3,追加画像4
吉備高原レストランgottoh　～ごっつぉう～,,グルメ ディナー ランチ レストラン 中華料理 和食 洋食,〒716-1241 岡山県加賀郡吉備中央町吉川４８６０−６ きびプラザ 2F,"34.8351003,133.7606467",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/01/gottoh.jpg,,https://kibikougen-resort.com/restaurant.html,,,,"https://www.google.co.jp/maps/place/+GOTTOH+/@34.8351003,133.7595121,17z/data=!3m1!4b1!4m5!3m4!1s0x3556a87a5800e751:0x31347eb6a12f2203!8m2!3d34.8351003!4d133.7606467?hl=ja","####定休日
水曜（当面の間、木曜日もお休みしております）

#### 営業時間(ランチ)
平日：11:00～14:30(L.O.14:00)　 土日祝：11:00～15:00(L.O.14:30)

#### 営業時間(ディナー)　※要予約
17:00～21:00

","「ごっつぉう」とは岡山弁で「ご馳走」を意味します。

ランチタイムには地元吉備中央町で生産された農産物や、

自然に囲まれた環境ならではの山の幸を豊富に取り入れた様々な料理をお楽しみいただけます。

 

ディナータイムには、同ホテル　個室和膳「加賀や」にて、

牛しゃぶ、天ぷら、寿司をメインとした御前を中心に、懐石料理、単品をご提供します。

※要予約

 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
道の駅レストラン　品野屋,,グルメ ランチ 和食,〒709-2413 岡山県加賀郡吉備中央町上田西２３３８−４,"34.8914782,133.813079",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/01/sinanoya1-600x400.jpg,"0867341999
",,,,,"https://www.google.co.jp/maps/place//@34.8914782,133.813079,16.65z/data=!4m12!1m6!3m5!1s0x3556a0d44671282f:0x5b6f74f0dbca1059!2z5paw5bGx44G744G744GI44G_44K744Oz44K_44O8!8m2!3d34.9180189!4d133.7556455!3m4!1s0x35541e74164b3743:0x61248103b639e022!8m2!3d34.8929451!4d133.8150618?hl=ja","#### 定休日
火曜、年始

#### 営業時間
11:00～15:00（オーダーストップ 14:30","地元食材を使った料理と手打ち蕎麦を提供。コシのある美味しい蕎麦が味わえます。

 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
新山ほほえみ笑店,,買い物,〒709-2673 岡山県加賀郡吉備中央町尾原508 新山ほほえみセンター内,"34.8932768,133.731593",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/01/2a603857546f58ea9fb01977da243f7b-600x299.jpg,0867-35-9933,,,,,"https://www.google.co.jp/maps/place//@34.8932768,133.731593,12.83z/data=!4m5!3m4!1s0x3556a0d44671282f:0x5b6f74f0dbca1059!8m2!3d34.9180189!4d133.7556455?hl=ja","#### 営業時間
10:00〜18:00

#### 定休日
日曜・祝日","買い物支援として、食料品、日常生活用品、その他地域住民が希望する商品を扱っています。

 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
ブルーベリーファームふじわら,,アクティビティ 果物 農産物,〒709-2341 岡山県加賀郡吉備中央町上加茂８４−１０,"34.8534602,133.8094652",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/01/e66dc149b4ad6b94b59d3c43da29ba83.jpg,0867-34-1000,,,,,"https://www.google.co.jp/maps/place/709-2341+/@34.8534602,133.8094652,19z/data=!4m13!1m7!3m6!1s0x35541d7533fab545:0xcaa08a57b87f72e4!2z44CSNzA5LTIzNDEg5bKh5bGx55yM5Yqg6LOA6YOh5ZCJ5YKZ5Lit5aSu55S65LiK5Yqg6IyC77yY77yU4oiS77yR77yQ!3b1!8m2!3d34.8534602!4d133.8097657!3m4!1s0x35541d7533fab545:0xcaa08a57b87f72e4!8m2!3d34.8534602!4d133.8097657?hl=ja","#### 定休日
不定休

#### 営業時間
お電話にてお問合せください

#### 料金
大人(中学生以上)：1,000円　子供(4〜12歳)：700円　3歳以下：無料","吉備高原の高地で栽培された、完熟の甘くて美味しいブルーベリー狩りを食べ放題で楽しめます。

 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
宮木牧場,,アクティビティ ファミリー 買い物 農産物 野菜,〒716-1241 岡山県加賀郡吉備中央町吉川８８１,"34.8154,133.7546222",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/01/2263d50a9d1c1801fc46641b5385b142.jpg,"0866567113
",,,https://www.instagram.com/miyaki.bokujo/,,"https://www.google.co.jp/maps/place//@34.8154,133.7524335,17z/data=!3m1!4b1!4m5!3m4!1s0x3556a85774173ab1:0x3a5b9ad139be7c50!8m2!3d34.8154!4d133.7546222?hl=ja","#### トウモロコシ狩り(7月中旬～8月中旬)
基本4本で1000円／人

#### キムチ作り体験(11月～2月)
1200円／人（キムチお土産付き）

#### 牛の餌やり＋バター作り＋農作業体験
700円／人","様々な旬の野菜を販売しています。

特に夏季のトウモロコシは甘味が強く人気です。

 

トウモロコシ狩りのほか、キムチ作り体験などもできます。

また学校を対象とした牛とのふれあいや農作業体験を通じて命の授業も展開しています。

 

※掲載情報は変更となる場合がございます。
　最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
ゆめ農園　晴,,アクティビティ 果物 買い物 農産物,〒716-1241 加賀郡吉備中央町吉川4217-1,"34.8247758,133.7531882",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/01/haru1-600x400.jpg,0866569560,https://www.jalan.net/kankou/spt_guide000000192675/,,https://www.instagram.com/yumenouen/,,"https://www.google.co.jp/maps/place//@34.8247758,133.7509995,17z/data=!3m1!4b1!4m5!3m4!1s0x3556a85f7306d6ed:0x346693660890115b!8m2!3d34.824777!4d133.7531236?hl=ja","#### 開園時期
1月下旬～5月中旬　※要予約

#### 営業時間
9:00～17:00

#### 料金(30分間食べ放題)
中学生以上:2100円　小学生:1600円　幼児(3歳～):1,000円　2歳以下:0円","みどり豊かな岡山・吉備高原で、大阪からＵターンしてきた夫婦二人で
減農薬、有機肥料栽培でいちごの栽培に取り組んでいます。

いちごマークの可愛らしいハウスで、フレッシュで美味しいいちごをご堪能ください。

 

※掲載情報は変更となる場合がございます。
　最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
ギャラリーカフェ MIMOZA,,アート ツーリング デート 歴史・文化 癒し 自然,〒716-1241 岡山県加賀郡吉備中央町吉川4429−31,"34.8275119,133.7570434",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/01/IMG_8206-600x400.jpg,09087153643,,,https://www.instagram.com/gallerycafe.mimoza/?hl=ja,,https://goo.gl/maps/UJjLuP5AiQzCjUdb8,"#### 営業日
年中無休

#### 営業時間
9時～16時","吉備高原都市の周りが自然に囲まれた閑静な住宅街にある

１日数組限定の予約制のギャラリーカフェです。

 

岡山県出身で在仏画家として活躍した大倉道昌画伯の

洋画が常設展示された空間で、珈琲や紅茶を頂けます。

 

また四季折々の花が楽しめる２００坪の庭園も開放しています。

 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
空の猟師小屋,,アウトドア アクティビティ キャンプ グルメ ジビエ ツーリング デート ファミリー ランチ 地産地消 自然,〒709-2413 岡山県加賀郡吉備中央町上田西1853-3,"34.875971,133.7961193",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/01/d87720eea61dc6d61e70c45b8ced17fd-e1672818317486-600x400.png,09036363818,,,,,https://goo.gl/maps/oAzFdebgAbHz1TJZ7,"#### 営業日
不定期（要予約/ランチのみ対応）

#### 利用料
3,500円/人（飲物は基本持参）

#### 駐車場
無料（大型バスも可）","現役猟師たちとふれあいながら

近隣で獲れたジビエ肉を身近な食材として美味しく頂ける

バーベキュースタイルの施設です。

 

食肉製品の加工も行っているため

新鮮なジビエ肉をそのまま味わうだけでなく

猪鹿スモークソーセージ等で食すこともできます。

 

それらと地元の美味しい野菜がセットになった

「おまかせバーベキュー」をぜひご賞味ください。

 

また、追加料金でジビエ革を使用した革細工体験もできます。

 

※要予約(１０～４０人程度の間で対応可)

※内容により出張バーベキューも受け付けています

 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
アストロコテージ ガリレオ,,アウトドア アクティビティ ツーリング デート ファミリー 宿泊 散策 癒し 自然,〒709-2331 岡山県加賀郡吉備中央町下加茂1506-150,"34.8771522,133.8402992",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/01/c1d8cb27cda7f6fc265fe7423e7d34d4-600x400.png,"0866-54-1301
",https://www.town.kibichuo.lg.jp/site/galileo/,,,,https://goo.gl/maps/m565NFkW4a1JqhpW7,"#### 利用時間【宿泊】
15:00〜(翌)10:00

#### 基本使用料
5,240円

#### 利用料
1.050円/人 (小学生以上)
望遠鏡使用料【オプション】
ドーム内：2,100円
移動用小型：1,050円

#### 注意事項
※利用料金＝基本使用料＋人数分の利用料(＋望遠鏡使用料)","アストロコテージガリレオは、360度見渡せる小高い丘の上に建つ、
天体観測室の付いた町営の自然体験宿泊施設です。

コンピュータ制御による口径30cm反射型望遠鏡がシンボル。
望遠鏡の操作は指導員を派遣してくれるので安心です。

自炊設備も完備していて、自分たちで食材を持ち込んで、
輝く星空のもとでバーベキューもできます。
ご家族でまた親しいグループで満天の星空をお楽しみください。

※掲載情報は変更となる場合がございます。
　最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
ブルーベリーランド吉備,,アウトドア アクティビティ お土産 デート ファミリー 果物 自然 農産物,〒716-1131 岡山県加賀郡吉備中央町上竹2065-2,"34.8529244,133.6779089",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/01/5dfe86f3fbde3c7c572f4c82bc854bfa-600x400.jpeg,0866556008,,,,,https://goo.gl/maps/hED2fBhxsXtaVC589,"#### 利用料
大人(中学生以上)：1,000円　子供(4〜12歳)：700円　3歳以下：無料","甘いブルーベリーの収穫が体験できます。
シャープブルーやオニール、ティフブルーなど多種のブルーベリーを食べ放題、時間制限なしで楽しめます。
ご来園の際は事前にお問い合わせください。

お持ち帰り：1パック250円/100g

◎ご予約は道の駅かよう(tel:0866-55-6008)まで

 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
小林農園 古那志屋,,アウトドア アクティビティ お土産 デート ファミリー 果物 自然 農産物,〒709-2413 岡山県加賀郡吉備中央町上田西513-5,"34.8910393,133.7936577",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/01/c028aa65b46995b6b92c149dc7931ad1-536x400.png,0867-34-0326,http://www.konashiya.com,,https://www.instagram.com/kibichuo_konashiya/?hl=ja,,https://goo.gl/maps/YNfsQiBPsbEH3DAw6,"####開園期間
6月下旬〜8月下旬

#### 開園時間
9:00〜17:00

#### 利用料
大人(中学生以上)：1,000円　子供(4〜12歳)：700円　3歳以下：無料","寒暖差が激しく赤土で美味しい野菜や果物が育つ円城地区で

こだわりをもって、お客さまにおいしいと思ってもらえることを第一として野菜や果物を栽培しています。

またそれらを利用した加工品も販売しています。

 

農園の体験の一つ「ブルーベリー狩り」は

溶液栽培での生育管理を行い、大変甘みの強い大粒となったブルーベリーを13種類も楽しめます。

特に「デューク」はお勧めの品種となっています。

 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
blue berry はるな園,,アウトドア アクティビティ お土産 デート ファミリー 果物 自然 買い物 農産物,〒716-1131 岡山県加賀郡吉備中央町上竹3123,"34.8452028,133.6627109",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/01/ffa54198425c9a1ef0d26787ea9b93cb-600x400.png,09048993485,https://kibi21.com,,,https://www.youtube.com/watch?v=XzAMj_UYVVk&t=5s,https://goo.gl/maps/M2KqyesmkNE1W5oq6,"#### 開園期間
6月中旬〜9月上旬

#### 営業時間
8:00〜16:00
※開園期間中定休日なし/当日受付10:00迄

#### 入園料(時間制限なし食べ放題)　※予約制
大人(中学生以上)：1,000円　子供(4〜12歳)：700円　3歳以下：無料　","完熟した美味しいブルーベリーを時間無制限の食べ放題で味わえます。
2021年度よりコロナ対策を徹底した上で、体験型学習室(調理室)を整備いたしました。
新鮮なブルーベリーを摘み取ってきてすぐに作ったスムージーを
アウトドア(ガーデン日除けテントの下)でお召し上がりいただけます。

◎体験コース例

スムージー体験コース
ピザ体験コース(2種類のピザ作り/スムージー付き)
季節大福体験コース(シーズンOFFメニュー)
◎ブルーベリーのお持ち帰り品は 100g単位/250円 1kgからは2,000円
※体験学習室の利用注意点

一度のご利用は6名まで(大人、子ども合わせ)
外の手洗い場で手をよく洗い、学習室の中で自動アルコール消毒を。
使用した容器は洗って所定の位置に返却をお願いします。
 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
CAMPERS-INN チロリン村キャンプグランド,,アウトドア アクティビティ キャンプ スポーツ デート ファミリー 宿泊 自然,〒709-2401 岡山県加賀郡吉備中央町神瀬１６１２−１,"34.9086187,133.825924",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/07/2475f8af36d48d790f6a21f698f29d32-600x400.jpg,0867-34-0027,https://chirorinmura.net/,,,,"https://www.google.co.jp/maps/place//@34.9085631,133.8237919,17z/data=!3m1!4b1!4m5!3m4!1s0x35541e59bb2ed7bd:0x786e5c1172d0daa3!8m2!3d34.9086309!4d133.8259777?hl=ja","#### 営業期間
年中無休　※11～3月は要予約

#### 営業時間
10:00〜18:00

#### 料金
オートキャンプ：4,800円～ キャビン：13,000円～","オートキャンプ、キャビン、バンガロー、トレーラーハウスなどを備え、30年以上の歴史を有すキャンプ場。

広大な敷地を利用しての4WD体験、場内スタンプラリー、トレジャーハンティングのほか

ドローン、ラジコンの飛行場を設けています。

 

また年間を通して様々なイベントが開催されており

特に毎年恒例のハロウィンイベントは子供から大人まで人気となっています。

 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
西田農園,,アクティビティ グルメ デート テイクアウト ファミリー 果物 自然 買い物,〒709-2413 岡山県加賀郡吉備中央町上田西１１９６,"34.8766927,133.7830778",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/06/280d6b0637432582de86b197a4375fe8.jpeg,090-1186-6424,https://www.nishida-noen.com/,,https://www.instagram.com/nishida.noen.blueberry/,,"https://www.google.co.jp/maps/place//@34.8766927,133.7830778,14.4z/data=!4m14!1m8!3m7!1s0x35541df53a045189:0x56091079a1e1f038!2z6KW_55Sw6L6y5ZyS!8m2!3d34.8811825!4d133.7923156!14m1!1BCgIgARICEAE!3m4!1s0x35541df53a045189:0x56091079a1e1f038!8m2!3d34.8811825!4d133.7923156?hl=ja","#### 開園期間
6月中旬~8月中旬頃

#### 定休日
火曜

#### 営業時間
朝方～15時まで

####入園料金
大人(13歳以上)：1,000円　子供(4～12歳)：700円　3歳以下：無料","標高３３０mの寒暖の差がある気候と澄んだ空気、おいしい水によって

とても甘くておいしいブルーベリーを育てられています。

 

合計約３０アールの敷地に、ノーザンハイブッシュ、サザンハイブッシュ、ラビットアイ等

約５０品種、５００本を超えるブルーベリーを栽培。中には５００円玉ほどにもなる大粒の種類も。

広大な土地を活用し、木と木の間にゆとりを持たせてあり、お客様がブルーベリー狩りをしやすい設計になっています。

 

◎お持ち帰り　100g(1パック) / 250円

 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
岡山乗馬俱楽部,,アウトドア アクティビティ スポーツ ファミリー 癒し 自然,〒709-2413 岡山県加賀郡吉備中央町上田西２３９３−１１,"34.8795485,133.8324625",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2022/12/fd78193a6ab96830f63b248da8c9b2c0-600x299.jpg,0867-34-9911,http://okayama-jobaclub.com/,,https://www.instagram.com/okayamajobaclub/,https://www.youtube.com/channel/UCt-PCJBoX51W8V8fzWfSBog,"https://www.google.co.jp/maps/place//@34.8795485,133.8324625,15.26z/data=!4m5!3m4!1s0x35541c273d39418d:0x6130295e3c6af110!8m2!3d34.874336!4d133.842328?hl=ja","#### 定休日
月・火曜(祝日の場合は営業)

#### 営業時間
9:00〜17:00","西日本最大級の乗馬倶楽部。岡山市内から車で１時間とアクセスも良好。

約５０頭の馬たちが所属しており、広々とした大自然の中で乗馬できます。

馬と仲良くなってもらいたいとの想いから料金をリーズナブルに設定していて、老若男女問わず乗馬を楽しめます。

 

また岡山乗馬倶楽部は全国乗馬振興協会の優良乗馬倶楽部に認定されています。

お子様でも取得できる「ポニーライダー」ライセンスや乗馬ライセンス技能審査もこちらで実施できます。

クラブハウス内のカフェでランチも楽しめますよ。

 

※掲載情報は変更となる場合がございます。
　最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
大村寺・功徳庵,,散策 歴史・文化 神社・仏閣 紅葉 自然 重森三玲,吉備中央町上竹5600,"34.8340047,133.6603956",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/07/kibi139__oomuraji.jpg,0866541403,,,,,"https://www.google.com/maps/place/%E9%87%8D%E6%A3%AE%E4%B8%89%E7%8E%B2%E4%BD%9C%E8%8C%B6%E5%AE%A4+%E5%8A%9F%E5%BE%B3%E5%BA%B5/@34.8340047,133.6603956,21z/data=!4m5!3m4!1s0x3556af9454f95f93:0xa27618e81ea653e7!8m2!3d34.8339581!4d133.66035",,"吉備中央町吉川地区出身であり昭和を代表する造園学者である重森三玲の作品です。

「功徳庵（こうとくあん）」は重森三玲氏、64歳の時の作品。
昭和38年に岡山市内の民家へ築造し、その所有者であった立岡皓男氏から寄贈を受け、平成11年６月に大村寺へ移築されました。
北山杉をはじめ、こだわりの材料を持って建築された茶室は相対美が評価され、三玲の最高傑作とも言われています。
功徳庵のある大村寺には推定樹齢350年のクロマツと、三玲設計の庭もあり境内・庭園の散策もできます。
※見学は要予約

「重森三玲記念館」と合わせて見学してみて下さい。
◆重森三玲記念館

重森三玲・・・
日本美術学校で日本画を学び、その後造園、庭園学を独学で学び、氏独特のモダンを取り入れた枯山水庭園を各地に残す一方で、日本の伝統美である茶道、華道の奥義を極め、全国各地の古庭園の鑑別保存調査事業も行うなど、日本庭園界に多大なる功績を与えました。吉備中央町吉川地区出身。

 

◎重森三玲ゆかりのスポットを巡るオススメのプランがあります！

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
友琳の庭,,散策 歴史・文化 自然 重森三玲,岡山県加賀郡吉備中央町豊野1-2,"34.863485,133.6933555",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2022/12/2.png,0866541301,,,,,"https://www.google.com/maps/place/%E5%8F%8B%E7%90%B3%E3%81%AE%E5%BA%AD/@34.8634602,133.6917246,17z/data=!3m1!4b1!4m5!3m4!1s0x3556af43ca3a8725:0x6817cba7d9f1386d!8m2!3d34.8634575!4d133.6933314","#### 見学可能時間
9:00〜16:00

#### 入場料
無料

#### お問合せ（吉備中央町協働推進課）
平日：8:30〜17:15","吉備中央町吉川地区出身であり昭和を代表する造園学者である重森三玲の作品です。

昭和44年に京都友琳会館に作庭された庭園を平成14年に吉備中央町賀陽庁舎へ移築しました。
友禅染を完成させた宮崎友禅斎の「友」と尾形光琳の「琳」へのリスペクトを込め「友琳の庭（ゆうりんのにわ）」と命名されました。
池泉鑑賞式の庭園で、熨斗を基本としてデザインされたモダンな池庭が特徴です。
池水は浅く、高い透明度のまま螺旋状に流動するようにしています。
北側の庭は「天の橋立」を見立てたデザインだといいます。

「重森三玲記念館」と合わせて見学してみて下さい。
◆重森三玲記念館

※吉備中央町庁舎の中庭にあります。
※予約不要

重森三玲・・・
日本美術学校で日本画を学び、その後造園、庭園学を独学で学び、氏独特のモダンを取り入れた枯山水庭園を各地に残す一方で、日本の伝統美である茶道、華道の奥義を極め、全国各地の古庭園の鑑別保存調査事業も行うなど、日本庭園界に多大なる功績を与えました。吉備中央町吉川地区出身。

◎重森三玲ゆかりのスポットを巡るオススメのプランがあります！

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
天籟庵,,散策 歴史・文化 自然 重森三玲,吉備中央町吉川3930-8,"34.8197359,133.7511618",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/07/4a58f83ce230d39ef955cb8faeedc0d1.jpg,0866567020,,,,,"https://www.google.com/maps/place/%E9%87%8D%E6%A3%AE%E4%B8%89%E7%8E%B2%E8%A8%98%E5%BF%B5%E9%A4%A8/@34.8197403,133.7485815,17z/data=!3m1!4b1!4m5!3m4!1s0x3556a8f79589f7c5:0xbe7e43bcc8f9f03f!8m2!3d34.8196377!4d133.751209","#### 閉館日
土曜、年末年始（12月28日～1月4日）

#### 開館時間
月～金曜　9時00分～16時00分
日曜・祝日　10時00分～15時00分","吉備中央町吉川地区にある天籟庵（てんらいあん）は、同地区出身であり昭和を代表する造園学者である重森三玲が、茶道を極めたいとの想いから、１８歳の時に建築した茶室が生家から移築されたものです。

船底天井と言われるアーチ型の天井や、三つの床の間、不規則で幾何学的に組み合わせた障子の貼り方など、随所に重森三玲ならではのこだわりが散りばめられています。
露地は移築時に作られたもので、隣接する「吉川八幡宮」が海の神様を祀られているということもあり、それを連想させるような力強さがあります。

併設された「重森三玲記念館」と合わせて見学してみて下さい。
◆重森三玲記念館

重森三玲・・・
日本美術学校で日本画を学び、その後造園、庭園学を独学で学び、氏独特のモダンを取り入れた枯山水庭園を各地に残す一方で、日本の伝統美である茶道、華道の奥義を極め、全国各地の古庭園の鑑別保存調査事業も行うなど、日本庭園界に多大なる功績を与えました。吉備中央町吉川地区出身。

◎重森三玲ゆかりのスポットを巡るオススメのプランがあります！

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
重森三玲記念館,,歴史・文化 記念館・資料館 重森三玲,吉備中央町吉川3930-8,"34.8197359,133.7511618",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2022/12/1.png,0866567020,,,,,"https://www.google.com/maps/place/%E9%87%8D%E6%A3%AE%E4%B8%89%E7%8E%B2%E8%A8%98%E5%BF%B5%E9%A4%A8/@34.8197403,133.7485815,17z/data=!3m1!4b1!4m5!3m4!1s0x3556a8f79589f7c5:0xbe7e43bcc8f9f03f!8m2!3d34.8196377!4d133.751209","#### 閉館日
土曜、年末年始（12月28日～1月4日）

#### 開館時間
月～金曜
日曜・祝日　10時00分～15時00分","吉備中央町吉川地区出身で昭和を代表する造園学者の重森三玲を顕彰する記念館です。

重森三玲は日本美術学校で日本画を学び、その後造園、庭園学を独学で学び、氏独特のモダンを取り入れた枯山水庭園を各地に残す一方で、日本の伝統美である茶道、華道の奥義を極め、全国各地の古庭園の鑑別保存調査事業も行うなど、日本庭園界に多大なる功績を与えました。

この記念館は三玲氏が作庭の鑑賞と価値を高めるため結成した「京都林泉協会」（京都市）の協力で「日本庭園史大系」など多数の著作や鹿苑寺金閣をはじめとする著名庭園実測図などを収蔵しています。
記念館内は氏の残した書画などが多数展示されています。

天籟庵（てんらいあん）（国登録有形文化財）・・・
三玲氏が１８歳の時に取り組んだ処女作であり、現在重森三玲記念館横に移築されています。

◎重森三玲ゆかりのスポットを巡るオススメのプランがあります！

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
美原集落センター,,ブッポウソウ,吉備中央町美原８６１−１,"34.8713743,133.7711434",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/05/cf5065de49e64bcd7eac7cae893170c8.jpg,,,,,,"https://www.google.com/maps/place/%E7%BE%8E%E5%8E%9F%E9%9B%86%E8%90%BD%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC/@34.8713743,133.7711434,17z/data=!4m5!3m4!1s0x3556a7b455f09e13:0x57a6c2ab16be627c!8m2!3d34.8713694!4d133.7737242",,"美原地区にあるコミュニティセンターです。
ブッポウソウの観察のため、６〜８月は常時開設しています。
センター西側に巣箱・ブラインドがあります。
駐車場は普通乗用車２台程度の広さとなっています。

 

◉ブッポウソウを観察する上で、以下のことを守ってください。
一番恐れるのは繁殖場所である巣箱に長時間注目する人間です。

観察するときの注意点
１) 観察や写真撮影は、必ず巣箱から５０M以上以上離れて下さい。
２) １)の項の場合でも、２０分以上留まらないで下さい。
３) 許可なしに水田のあぜ、畑へは絶対に入らないで下さい。
４) 民家の近くで観察する際はその家に声をかけて下さい。
５) 狭い道路が多いので交通の邪魔にならないように注意して下さい。
また狭い農道に車を入れないで下さい。

 

 

 

 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
腰痛の地蔵尊 横山様,,ブッポウソウ 散策 歴史・文化 神社・仏閣,吉備中央町下土井,"34.8764654,133.7634112",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/05/7e37f3442880affb21e6cecf26b8d9fa.jpg,,,,,,"https://www.google.com/maps/place/%E8%85%B0%E7%97%9B%E5%9C%B0%E8%94%B5%E5%B0%8A%E6%A8%AA%E5%B1%B1%E6%A7%98/@34.8764698,133.7608309,17z/data=!3m1!4b1!4m5!3m4!1s0x3556a7083dc6ffff:0xe0c629c96c2d6da7!8m2!3d34.8764654!4d133.7634112",,"眼下に下土井集落が見渡せる場所にある地蔵尊で
町内で最も大きいブッポウソウの観察所です。
県道66号線を北上する道路右手の山の上で、道端に看板が出ています。
県道から右折した先の道は狭いため徐行しつつ対向車にご配慮ください。

マップアプリ等には「腰痛地蔵尊横山様」と記載されていて
「横山様」と呼ばれるお地蔵様にお祈りすると腰痛が治まると伝えられています。

◉ブッポウソウを観察する上で、以下のことを守ってください。
一番恐れるのは繁殖場所である巣箱に長時間注目する人間です。

観察するときの注意点
１) 観察や写真撮影は、必ず巣箱から５０M以上以上離れて下さい。
２) １)の項の場合でも、２０分以上留まらないで下さい。
３) 許可なしに水田のあぜ、畑へは絶対に入らないで下さい。
４) 民家の近くで観察する際はその家に声をかけて下さい。
５) 狭い道路が多いので交通の邪魔にならないように注意して下さい。
また狭い農道に車を入れないで下さい。",,,,
coffee&cake ベルネーゼ,,カフェ グルメ スイーツ デート ディナー ファミリー ランチ レストラン 地産地消 洋食,吉備中央町上野2440-52,"34.8408867,133.7687508",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2022/11/s640-38-600x400.png,"0866-56-7187
",http://k-franklin.com/bernese/,,,,"https://www.google.com/maps/place/%E3%83%99%E3%83%AB%E3%83%8D%E3%83%BC%E3%82%BC/@34.8408867,133.7661759,17z/data=!3m1!4b1!4m5!3m4!1s0x3556a77f668f7267:0x1d6c8f7ae3999e35!8m2!3d34.8408867!4d133.7687508","#### 営業日
土・日・祝日　

#### 営業時間
9時〜20時","どこかレトロな趣を感じさせる、2005年創業のアンティークカフェ＆レストラン。
吉備高原都市の住宅街の中にあります。

地元の食材を使用したメニューや手作りケーキ、カマンベールチーズをたっぷり使用した料理などが人気で
町外・県外からの来客も多いお店です。

道の駅めぐりの途中や、ドライブの際のお食事、カフェタイムなどに立ち寄ってみてはいかがでしょうか。

 

※掲載情報は変更となる場合がございます。
　最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
